bug: alloc_array in add_ct_output_filters, pair: (alloc_array, apr_palloc), support: 14, confidence: 82.35%
bug: alloc_array in apr_memcache_multgetp, pair: (alloc_array, apr_palloc), support: 14, confidence: 82.35%
bug: alloc_array in merge_core_dir_configs, pair: (alloc_array, apr_palloc), support: 14, confidence: 82.35%
bug: apr_allocator_destroy in apr_initialize, pair: (allocator_free, apr_allocator_destroy), support: 14, confidence: 93.33%
bug: apr_allocator_destroy in apr_initialize, pair: (apr_allocator_destroy, apr_allocator_owner_get), support: 14, confidence: 93.33%
bug: apr_allocator_destroy in apr_initialize, pair: (apr_allocator_destroy, apr_pool_destroy), support: 13, confidence: 86.67%
bug: apr_allocator_destroy in apr_initialize, pair: (apr_allocator_destroy, free_proc_chain), support: 14, confidence: 93.33%
bug: apr_allocator_destroy in apr_initialize, pair: (apr_allocator_destroy, run_cleanups), support: 14, confidence: 93.33%
bug: apr_allocator_destroy in apr_pool_destroy, pair: (apr_allocator_destroy, apr_pool_destroy), support: 13, confidence: 86.67%
bug: apr_allocator_mutex_set in apr_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 14, confidence: 87.50%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 14, confidence: 87.50%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 13, confidence: 81.25%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 14, confidence: 87.50%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 14, confidence: 87.50%
bug: apr_allocator_mutex_set in apr_pool_destroy, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 13, confidence: 81.25%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 14, confidence: 87.50%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 15, confidence: 93.75%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 14, confidence: 87.50%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 13, confidence: 81.25%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 14, confidence: 87.50%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 14, confidence: 87.50%
bug: apr_allocator_owner_get in apr_pool_destroy, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 13, confidence: 92.86%
bug: apr_array_push_noclear in apr_table_clone, pair: (apr_array_push_noclear, strcasecmp), support: 48, confidence: 97.96%
bug: apr_array_push_noclear in apr_table_clone, pair: (apr_array_push_noclear, table_reindex), support: 48, confidence: 97.96%
bug: apr_hash_make in ap_add_module_commands, pair: (apr_hash_make, apr_hash_set), support: 12, confidence: 80.00%
bug: apr_hash_make in ap_setup_prelinked_modules, pair: (apr_hash_make, apr_hash_set), support: 12, confidence: 80.00%
bug: apr_hash_make in process_command_config, pair: (apr_hash_make, apr_hash_set), support: 12, confidence: 80.00%
bug: apr_pstrcat in ap_read_config, pair: (apr_pstrcat, strlen), support: 52, confidence: 89.66%
bug: apr_pstrcat in ap_send_http_options, pair: (apr_pstrcat, strlen), support: 52, confidence: 89.66%
bug: apr_pstrcat in ap_walk_config, pair: (apr_pstrcat, strlen), support: 52, confidence: 89.66%
bug: apr_pstrcat in set_banner, pair: (apr_pstrcat, strlen), support: 52, confidence: 89.66%
bug: apr_pstrcat in set_neg_headers, pair: (apr_pstrcat, strlen), support: 52, confidence: 89.66%
bug: apr_pstrcat in vt_sdbm_open, pair: (apr_pstrcat, strlen), support: 52, confidence: 89.66%
bug: apr_strerror in ap_read_config, pair: (apr_strerror, strlen), support: 14, confidence: 93.33%
