bug: ap_escape_errorlog_item in main, pair: (ap_escape_errorlog_item, apr_time_now), support: 62, confidence: 98.41%
bug: ap_get_server_banner in ap_get_server_version, pair: (ap_get_server_banner, strlen), support: 11, confidence: 91.67%
bug: ap_index_of_response in ap_basic_http_header, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_custom_response, pair: (ap_index_of_response, strcasecmp), support: 15, confidence: 88.24%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, strcasecmp), support: 15, confidence: 88.24%
bug: ap_index_of_response in ap_get_status_line, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_log_error in ap_open_piped_log, pair: (ap_log_error, strcmp), support: 11, confidence: 84.62%
bug: ap_log_error in open_listeners, pair: (ap_log_error, strcmp), support: 11, confidence: 84.62%
bug: apr_allocator_destroy in apr_app_initialize, pair: (allocator_free, apr_allocator_destroy), support: 26, confidence: 96.30%
bug: apr_allocator_destroy in apr_app_initialize, pair: (apr_allocator_destroy, apr_allocator_owner_get), support: 26, confidence: 96.30%
bug: apr_allocator_destroy in apr_app_initialize, pair: (apr_allocator_destroy, apr_pool_destroy), support: 25, confidence: 92.59%
bug: apr_allocator_destroy in apr_app_initialize, pair: (apr_allocator_destroy, free_proc_chain), support: 26, confidence: 96.30%
bug: apr_allocator_destroy in apr_app_initialize, pair: (apr_allocator_destroy, run_cleanups), support: 26, confidence: 96.30%
bug: apr_allocator_destroy in apr_pool_destroy, pair: (apr_allocator_destroy, apr_pool_destroy), support: 25, confidence: 92.59%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 25, confidence: 86.21%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 27, confidence: 93.10%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 25, confidence: 86.21%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_pool_destroy, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 25, confidence: 86.21%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 27, confidence: 93.10%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 25, confidence: 86.21%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 26, confidence: 89.66%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 26, confidence: 89.66%
bug: apr_allocator_owner_get in apr_pool_destroy, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 25, confidence: 96.15%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_cleanup, apr_brigade_flatten), support: 15, confidence: 93.75%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, writev), support: 14, confidence: 87.50%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (__errno_location, apr_brigade_flatten), support: 14, confidence: 87.50%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, writev), support: 14, confidence: 87.50%
bug: apr_brigade_flatten in get_server_line, pair: (__errno_location, apr_brigade_flatten), support: 14, confidence: 87.50%
bug: ap_recent_ctime in main, pair: (ap_recent_ctime, apr_time_now), support: 62, confidence: 98.41%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, strlen), support: 19, confidence: 86.36%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, strlen), support: 19, confidence: 86.36%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, stuffbuffer), support: 21, confidence: 95.45%
bug: apr_error_string in cgi_child_errfn, pair: (apr_error_string, strlen), support: 19, confidence: 86.36%
bug: apr_file_flush in main, pair: (apr_file_flush, apr_time_now), support: 62, confidence: 98.41%
bug: apr_file_flush_locked in ap_log_cerror, pair: (__errno_location, apr_file_flush_locked), support: 22, confidence: 84.62%
bug: apr_file_flush_locked in ap_log_error, pair: (__errno_location, apr_file_flush_locked), support: 22, confidence: 84.62%
