bug: abort in add_browser, pair: (abort, gettimeofday), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, gettimeofday), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, gettimeofday), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, gettimeofday), support: 16, confidence: 80.00%
bug: allocator_free in ap_add_loaded_module, pair: (allocator_free, apr_thread_mutex_lock), support: 56, confidence: 90.32%
bug: allocator_free in ap_add_loaded_module, pair: (allocator_free, apr_thread_mutex_unlock), support: 56, confidence: 90.32%
bug: allocator_free in ap_update_vhost_from_headers, pair: (allocator_free, apr_thread_mutex_lock), support: 56, confidence: 90.32%
bug: allocator_free in ap_update_vhost_from_headers, pair: (allocator_free, apr_thread_mutex_unlock), support: 56, confidence: 90.32%
bug: allocator_free in cgi_bucket_read, pair: (allocator_free, apr_thread_mutex_lock), support: 56, confidence: 90.32%
bug: allocator_free in cgi_bucket_read, pair: (allocator_free, apr_thread_mutex_unlock), support: 56, confidence: 90.32%
bug: allocator_free in file_make_mmap, pair: (allocator_free, apr_thread_mutex_lock), support: 56, confidence: 90.32%
bug: allocator_free in file_make_mmap, pair: (allocator_free, apr_thread_mutex_unlock), support: 56, confidence: 90.32%
bug: allocator_free in mmap_bucket_setaside, pair: (allocator_free, apr_thread_mutex_lock), support: 56, confidence: 90.32%
bug: allocator_free in mmap_bucket_setaside, pair: (allocator_free, apr_thread_mutex_unlock), support: 56, confidence: 90.32%
bug: allocator_free in vt_sdbm_fetch, pair: (allocator_free, apr_thread_mutex_lock), support: 56, confidence: 90.32%
bug: allocator_free in vt_sdbm_fetch, pair: (allocator_free, apr_thread_mutex_unlock), support: 56, confidence: 90.32%
bug: ap_add_node in process_command_config, pair: (ap_add_node, strcmp), support: 10, confidence: 90.91%
bug: ap_escape_errorlog_item in ap_reclaim_child_processes, pair: (ap_escape_errorlog_item, apr_time_now), support: 24, confidence: 96.00%
bug: ap_get_server_banner in ap_get_server_version, pair: (ap_get_server_banner, strlen), support: 12, confidence: 92.31%
bug: ap_index_of_response in ap_basic_http_header, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_custom_response, pair: (ap_index_of_response, strcasecmp), support: 15, confidence: 88.24%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, strcasecmp), support: 15, confidence: 88.24%
bug: ap_index_of_response in ap_get_status_line, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: apr_allocator_destroy in ap_mpm_run, pair: (allocator_free, apr_allocator_destroy), support: 38, confidence: 97.44%
bug: apr_allocator_destroy in ap_mpm_run, pair: (apr_allocator_destroy, apr_proc_kill), support: 35, confidence: 89.74%
bug: apr_allocator_destroy in apr_pool_destroy, pair: (apr_allocator_destroy, apr_pool_destroy), support: 38, confidence: 97.44%
bug: apr_allocator_destroy in apr_terminate2, pair: (apr_allocator_destroy, apr_proc_kill), support: 35, confidence: 89.74%
bug: apr_allocator_destroy in apr_terminate2, pair: (apr_allocator_destroy, apr_sleep), support: 36, confidence: 92.31%
bug: apr_allocator_destroy in apr_terminate2, pair: (apr_allocator_destroy, free), support: 36, confidence: 92.31%
bug: apr_allocator_destroy in init_process, pair: (apr_allocator_destroy, apr_proc_kill), support: 35, confidence: 89.74%
bug: apr_allocator_destroy in init_process, pair: (apr_allocator_destroy, apr_sleep), support: 36, confidence: 92.31%
bug: apr_allocator_destroy in init_process, pair: (apr_allocator_destroy, free), support: 36, confidence: 92.31%
bug: apr_allocator_destroy in perform_idle_server_maintenance, pair: (apr_allocator_destroy, apr_proc_kill), support: 35, confidence: 89.74%
bug: apr_allocator_destroy in perform_idle_server_maintenance, pair: (apr_allocator_destroy, apr_sleep), support: 36, confidence: 92.31%
bug: apr_allocator_destroy in perform_idle_server_maintenance, pair: (apr_allocator_destroy, free), support: 36, confidence: 92.31%
bug: apr_allocator_mutex_set in ap_mpm_run, pair: (allocator_free, apr_allocator_mutex_set), support: 38, confidence: 90.48%
bug: apr_allocator_mutex_set in ap_mpm_run, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 35, confidence: 83.33%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 38, confidence: 90.48%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 38, confidence: 90.48%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 35, confidence: 83.33%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 36, confidence: 85.71%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 38, confidence: 90.48%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 38, confidence: 90.48%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 35, confidence: 83.33%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 36, confidence: 85.71%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_pool_destroy, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 38, confidence: 90.48%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 38, confidence: 90.48%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 38, confidence: 90.48%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 35, confidence: 83.33%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 36, confidence: 85.71%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in apr_terminate2, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 35, confidence: 83.33%
