bug: abort in add_browser, pair: (abort, ap_run_error_log), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (abort, strcpy), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (abort, strrchr), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (abort, syslog), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, ap_run_error_log), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, strcpy), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, strrchr), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, syslog), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, ap_run_error_log), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, strcpy), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, strrchr), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, syslog), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, ap_run_error_log), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, strcpy), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, strrchr), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, syslog), support: 16, confidence: 80.00%
bug: allocator_free in ap_directory_walk, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 84.62%
bug: allocator_free in ap_directory_walk, pair: (allocator_free, apr_allocator_mutex_get), support: 45, confidence: 86.54%
bug: allocator_free in ap_directory_walk, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 86.54%
bug: allocator_free in ap_directory_walk, pair: (allocator_free, apr_allocator_owner_get), support: 45, confidence: 86.54%
bug: allocator_free in ap_directory_walk, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 86.54%
bug: allocator_free in ap_directory_walk, pair: (allocator_free, apr_proc_kill), support: 45, confidence: 86.54%
bug: allocator_free in ap_directory_walk, pair: (allocator_free, apr_sleep), support: 45, confidence: 86.54%
bug: allocator_free in ap_directory_walk, pair: (allocator_free, free_proc_chain), support: 46, confidence: 88.46%
bug: allocator_free in ap_directory_walk, pair: (allocator_free, run_cleanups), support: 46, confidence: 88.46%
bug: allocator_free in ap_log_rerror, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 84.62%
bug: allocator_free in ap_log_rerror, pair: (allocator_free, apr_allocator_mutex_get), support: 45, confidence: 86.54%
bug: allocator_free in ap_log_rerror, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 86.54%
bug: allocator_free in ap_log_rerror, pair: (allocator_free, apr_allocator_owner_get), support: 45, confidence: 86.54%
bug: allocator_free in ap_log_rerror, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 86.54%
bug: allocator_free in ap_log_rerror, pair: (allocator_free, apr_proc_kill), support: 45, confidence: 86.54%
bug: allocator_free in ap_log_rerror, pair: (allocator_free, apr_sleep), support: 45, confidence: 86.54%
bug: allocator_free in ap_log_rerror, pair: (allocator_free, free_proc_chain), support: 46, confidence: 88.46%
bug: allocator_free in ap_log_rerror, pair: (allocator_free, run_cleanups), support: 46, confidence: 88.46%
bug: allocator_free in ap_psignature, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 84.62%
bug: allocator_free in ap_psignature, pair: (allocator_free, apr_allocator_mutex_get), support: 45, confidence: 86.54%
bug: allocator_free in ap_psignature, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 86.54%
bug: allocator_free in ap_psignature, pair: (allocator_free, apr_allocator_owner_get), support: 45, confidence: 86.54%
bug: allocator_free in ap_psignature, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 86.54%
bug: allocator_free in ap_psignature, pair: (allocator_free, apr_proc_kill), support: 45, confidence: 86.54%
bug: allocator_free in ap_psignature, pair: (allocator_free, apr_sleep), support: 45, confidence: 86.54%
bug: allocator_free in ap_psignature, pair: (allocator_free, free_proc_chain), support: 46, confidence: 88.46%
bug: allocator_free in ap_psignature, pair: (allocator_free, free), support: 47, confidence: 90.38%
bug: allocator_free in ap_psignature, pair: (allocator_free, run_cleanups), support: 46, confidence: 88.46%
bug: allocator_free in ap_psignature, pair: (__errno_location, allocator_free), support: 46, confidence: 88.46%
bug: allocator_free in apr_brigade_write, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 84.62%
bug: allocator_free in apr_brigade_write, pair: (allocator_free, apr_allocator_mutex_get), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_write, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_write, pair: (allocator_free, apr_allocator_owner_get), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_write, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_write, pair: (allocator_free, apr_proc_kill), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_write, pair: (allocator_free, apr_sleep), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_write, pair: (allocator_free, free_proc_chain), support: 46, confidence: 88.46%
bug: allocator_free in apr_brigade_write, pair: (allocator_free, free), support: 47, confidence: 90.38%
bug: allocator_free in apr_brigade_write, pair: (allocator_free, run_cleanups), support: 46, confidence: 88.46%
