bug: abort in add_browser, pair: (abort, apr_cpystrn), support: 17, confidence: 85.00%
bug: abort in add_browser, pair: (abort, apr_error_string), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (abort, c2x), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (abort, gai_strerror), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (abort, get_offset), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (abort, gmtime_r), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (abort, localtime_r), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (abort, strchr), support: 17, confidence: 85.00%
bug: abort in add_browser, pair: (abort, stuffbuffer), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (__ctype_b_loc, abort), support: 17, confidence: 85.00%
bug: abort in add_setenvif_core, pair: (abort, apr_cpystrn), support: 17, confidence: 85.00%
bug: abort in add_setenvif_core, pair: (abort, strchr), support: 17, confidence: 85.00%
bug: abort in add_setenvif_core, pair: (__ctype_b_loc, abort), support: 17, confidence: 85.00%
bug: abort in add_setenvif, pair: (abort, apr_cpystrn), support: 17, confidence: 85.00%
bug: abort in add_setenvif, pair: (abort, apr_error_string), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, c2x), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, gai_strerror), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, get_offset), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, gmtime_r), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, localtime_r), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, strchr), support: 17, confidence: 85.00%
bug: abort in add_setenvif, pair: (abort, stuffbuffer), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (__ctype_b_loc, abort), support: 17, confidence: 85.00%
bug: abort in handle_elif, pair: (abort, apr_error_string), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, apr_thread_mutex_lock), support: 18, confidence: 90.00%
