bug: abort in add_browser, pair: (abort, lseek), support: 16, confidence: 80.00%
bug: abort in add_browser, pair: (abort, ntohl), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, lseek), support: 16, confidence: 80.00%
bug: abort in add_setenvif, pair: (abort, ntohl), support: 16, confidence: 80.00%
bug: abort in ap_create_scoreboard, pair: (abort, stuffbuffer), support: 17, confidence: 85.00%
bug: abort in ap_log_assert, pair: (abort, malloc), support: 19, confidence: 95.00%
bug: abort in ap_log_assert, pair: (abort, stuffbuffer), support: 17, confidence: 85.00%
bug: abort in ap_read_config, pair: (abort, stuffbuffer), support: 17, confidence: 85.00%
bug: abort in handle_elif, pair: (abort, lseek), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, ntohl), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, lseek), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, ntohl), support: 16, confidence: 80.00%
bug: allocator_free in apr_pool_destroy, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 97.83%
bug: allocator_free in init_process, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 95.65%
bug: allocator_free in main, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 95.65%
bug: ap_get_server_banner in ap_get_server_version, pair: (ap_get_server_banner, strlen), support: 12, confidence: 92.31%
bug: ap_index_of_response in ap_basic_http_header, pair: (ap_index_of_response, apr_thread_mutex_lock), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_basic_http_header, pair: (ap_index_of_response, apr_thread_mutex_unlock), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_basic_http_header, pair: (ap_index_of_response, malloc), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_basic_http_header, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_custom_response, pair: (ap_index_of_response, strcasecmp), support: 15, confidence: 88.24%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, apr_thread_mutex_lock), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, apr_thread_mutex_unlock), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, malloc), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, strcasecmp), support: 15, confidence: 88.24%
bug: ap_index_of_response in ap_get_status_line, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (ap_index_of_response, apr_thread_mutex_lock), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (ap_index_of_response, apr_thread_mutex_unlock), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (ap_index_of_response, malloc), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: apr_allocator_destroy in ap_mpm_run, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 97.78%
bug: apr_allocator_destroy in apr_pool_destroy, pair: (apr_allocator_destroy, apr_pool_destroy), support: 44, confidence: 97.78%
bug: apr_allocator_mutex_set in ap_mpm_run, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 90.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, kill), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (__errno_location, apr_allocator_mutex_set), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 90.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 47, confidence: 94.00%
